subor,cas_s,klauzuly
Test_i_1.in,0.099168,1
Test_i_2.in,0.104870,2
Test_i_3.in,0.094062,3
Test_i_4.in,0.097007,4
Test_i_5.in,0.103253,5
Test_i_6.in,0.105859,6
Test_i_7.in,0.096947,7
Test_i_8.in,0.117601,8
Test_i_9.in,0.105790,67
Test_i_10.in,0.095914,56
Test_i_11.in,0.098977,11
Test_i_12.in,0.104596,93
Test_i_13.in,0.104441,125
Test_i_14.in,0.098464,129
Test_i_15.in,0.097035,111
Test_i_16.in,0.096686,323
Test_i_17.in,0.103556,193
Test_i_18.in,0.113158,262
Test_i_19.in,0.106561,273
Test_i_20.in,0.108973,667
Test_i_21.in,0.106209,355
Test_i_22.in,0.105828,221
Test_i_23.in,0.098544,597
Test_i_24.in,0.098520,456
Test_i_25.in,0.102815,287
Test_i_26.in,0.103188,489
Test_i_27.in,0.116687,1211
Test_i_28.in,0.115558,1730
Test_i_29.in,0.096120,573
Test_i_30.in,0.096299,256
Test_i_31.in,0.115811,1489
Test_i_32.in,0.113603,2027
Test_i_33.in,0.121812,2781
Test_i_34.in,0.119043,3636
Test_i_35.in,0.109759,2501
Test_i_36.in,0.116562,3322
Test_i_37.in,0.121889,3307
Test_i_38.in,0.130737,4438
Test_i_39.in,0.119954,4211
Test_i_40.in,0.133393,5313
Test_i_41.in,0.124020,7251
Test_i_42.in,0.124702,5858
Test_i_43.in,0.127374,5183
Test_i_44.in,0.132636,7089
Test_i_45.in,0.137254,8861
Test_i_46.in,0.132605,7550
Test_i_47.in,0.142456,10867
Test_i_48.in,0.141114,10589
Test_i_49.in,0.134435,9723
Test_i_50.in,0.142713,8242
