subor,cas_s,klauzuly
Test_i_1.in,0.109216,30
Test_i_2.in,0.106064,10
Test_i_3.in,0.110416,10
Test_i_4.in,0.110962,10
Test_i_5.in,0.108456,10
Test_i_6.in,0.114192,10
Test_i_7.in,0.105831,10
Test_i_8.in,0.106807,10
Test_i_9.in,0.112502,10
Test_i_10.in,0.110663,10
Test_i_11.in,0.112140,10
Test_i_12.in,0.108512,10
Test_i_13.in,0.109794,10
Test_i_14.in,0.107321,10
Test_i_15.in,0.109258,10
Test_i_16.in,0.104370,10
Test_i_17.in,0.109347,10
Test_i_18.in,0.105966,10
Test_i_19.in,0.122803,10
Test_i_20.in,0.124884,10
Test_i_21.in,0.121152,10
Test_i_22.in,0.119611,10
Test_i_23.in,0.118336,10
Test_i_24.in,0.123944,10
Test_i_25.in,0.116613,10
Test_i_26.in,0.123095,10
Test_i_27.in,0.125384,10
Test_i_28.in,0.125185,10
Test_i_29.in,0.123336,10
Test_i_30.in,0.124067,10
Test_i_31.in,0.120459,10
Test_i_32.in,0.115383,10
Test_i_33.in,0.113863,10
Test_i_34.in,0.112705,10
Test_i_35.in,0.113124,10
Test_i_36.in,0.111800,10
Test_i_37.in,0.111483,10
Test_i_38.in,0.117786,10
Test_i_39.in,0.119520,10
Test_i_40.in,0.114269,10
Test_i_41.in,0.113579,10
Test_i_42.in,0.113156,10
Test_i_43.in,0.114086,10
Test_i_44.in,0.113296,10
Test_i_45.in,0.115738,10
Test_i_46.in,0.118045,10
Test_i_47.in,0.116039,10
Test_i_48.in,0.120953,10
Test_i_49.in,0.114888,10
Test_i_50.in,0.114625,10
